gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	significant_up	significant_down
SMPDL3B	21.17071442566404	-0.9047722791458584	0.11620732346040268	-7.785845609413395	6.924847116397285e-15	1.4387254688792624e-13	TRUE	FALSE	TRUE
SMPX	3.154835675925454	1.1970663125130354	0.30493299440285226	3.9256700143493504	8.648865626455765e-5	3.4084472274005756e-4	TRUE	TRUE	FALSE
SMR3A	0.19829383663919672	0.6697228649012043	3.1989586337768148	0.20935652553609405	0.8341699283004038	0.9071313321548488	FALSE	FALSE	FALSE
SMR3B	0.42002409843002264	0.5022377395468146	3.1978293843975476	0.15705582730500592	0.8752008501600526	0.9352692513607977	FALSE	FALSE	FALSE
SMS	254.79448023116396	-0.6879904637261324	0.09770084706270625	-7.04180653914461	1.897631873324704e-12	2.751310814991975e-11	TRUE	FALSE	TRUE
SMTN	148.29585869836117	0.1774164636943182	0.07963222740387585	2.2279480240393603	0.025883981190888104	0.05468965134428598	FALSE	FALSE	FALSE
SMTNL1	0.2458239563450849	0.34177015788430876	3.198716500773888	0.10684602958768678	0.9149111301269756	0.959393162590873	FALSE	FALSE	FALSE
SMTNL2	3.4483230417491	1.104237414468174	0.26628036193520105	4.146897677482084	3.370105810903575e-5	1.4392255638437566e-4	TRUE	TRUE	FALSE
SMU1	99.45660776853008	0.08714578429299616	0.03902053800550486	2.2333311826890236	0.0255271126367712	0.05404693806596261	FALSE	FALSE	FALSE
SMUG1	16.822221302833654	-0.24349038027584538	0.09279031203818067	-2.6240926981219306	0.008688013587986172	0.021069704272080377	FALSE	FALSE	FALSE
SMURF1	98.31161180878068	-0.10328693003483433	0.040348377164279005	-2.5598781733971627	0.010470886223143582	0.024763473510167777	FALSE	FALSE	FALSE
SMURF2	171.8672889129557	-0.11102684057798831	0.03165151609759465	-3.507789018246294	4.5184724354195506e-4	0.001517781238246246	FALSE	FALSE	FALSE
SMYD1	0.3931141445477406	0.4661077479668549	3.197721098305433	0.1457624769758248	0.8841088984952026	0.9406648431453924	FALSE	FALSE	FALSE
SMYD2	60.8773401496737	-0.11423180168757276	0.07997565619590458	-1.4283321590729552	0.15319627566594476	0.2455631098298326	FALSE	FALSE	FALSE
SMYD3	52.939018369871555	-0.12350247893604487	0.07931510343529559	-1.557111742743888	0.11944395752688909	0.19932887578687403	FALSE	FALSE	FALSE
SMYD4	53.148157755313036	-0.00606078056923835	0.05286023201165636	-0.11465671523919664	0.9087172238212045	0.9556559335499496	FALSE	FALSE	FALSE
SMYD5	55.030363688537925	-0.0033696873205428884	0.0514470851939892	-0.06549811923915534	0.9477774037520662	0.9771672567276769	FALSE	FALSE	FALSE
SNAI1	6.247004375049574	0.3009503532280818	0.16057242501509855	1.8742343412935536	0.06089813278736056	0.1135089774983721	FALSE	FALSE	FALSE
SNAI2	56.061836100342504	0.8022140329108869	0.11100911557923056	7.226559987664459	4.953818620806594e-13	7.890024613478161e-12	TRUE	TRUE	FALSE
SNAI3	1.8092463001455081	0.2018088747322938	0.29707175113970585	0.6793270445879179	0.4969306642062576	0.6262134386339019	FALSE	FALSE	FALSE
SNAP23	114.4112997663744	0.08520854493984782	0.0507699329937614	1.6783269134965813	0.09328329679592955	0.16275303538490019	FALSE	FALSE	FALSE
SNAP25	13.147010964710384	1.0344037274016693	0.1294992161040819	7.987721922349645	1.374550693058121e-15	3.1338301250727213e-14	TRUE	TRUE	FALSE
SNAP29	62.74066315295046	-0.07632095253572962	0.049561466210075664	-1.5399252357109212	0.12357857864760734	0.20494961719364946	FALSE	FALSE	FALSE
SNAP47	44.617296049512326	-0.14157538871358713	0.05830023623295168	-2.428384477687035	0.015166255886451565	0.03433403205564768	FALSE	FALSE	FALSE
SNAP91	30.431854884688622	-0.9356502710502425	0.16191173633510764	-5.7787674459480405	7.524985249617095e-9	6.178574969626537e-8	TRUE	FALSE	TRUE
SNAPC1	19.84865178130924	0.4322558967113466	0.08875358060215452	4.870292485989613	1.114331754858485e-6	6.273393691775818e-6	FALSE	FALSE	FALSE
SNAPC2	14.611596343208468	-0.15905039921327752	0.10242300111447679	-1.5528777470161128	0.12045234404021508	0.20067628768531037	FALSE	FALSE	FALSE
SNAPC3	91.49873098178794	-0.10117076490758867	0.040714132687558316	-2.484905319830258	0.012958589478304076	0.029837855114893803	FALSE	FALSE	FALSE
