gs_name	gene	species
moghal-2023_DTP-up_microarray	NBPF8	human
moghal-2023_DTP-up_microarray	NDRG2	human
moghal-2023_DTP-up_microarray	NEB	human
moghal-2023_DTP-up_microarray	NEDD9	human
moghal-2023_DTP-up_microarray	NFIX	human
moghal-2023_DTP-up_microarray	NFKBIA	human
moghal-2023_DTP-up_microarray	NKX3.1	human
moghal-2023_DTP-up_microarray	NOMO2	human
moghal-2023_DTP-up_microarray	NOV	human
moghal-2023_DTP-up_microarray	NRBP1	human
moghal-2023_DTP-up_microarray	NXN	human
moghal-2023_DTP-up_microarray	ODZ4	human
moghal-2023_DTP-up_microarray	OKL38	human
moghal-2023_DTP-up_microarray	OLFML2B	human
moghal-2023_DTP-up_microarray	OPTN	human
moghal-2023_DTP-up_microarray	OS9	human
moghal-2023_DTP-up_microarray	OSGIN1	human
moghal-2023_DTP-up_microarray	OXTR	human
moghal-2023_DTP-up_microarray	PALLD	human
moghal-2023_DTP-up_microarray	PALM	human
moghal-2023_DTP-up_microarray	PAPLN	human
moghal-2023_DTP-up_microarray	PARM1	human
moghal-2023_DTP-up_microarray	PDE5A	human
moghal-2023_DTP-up_microarray	PDGFA	human
moghal-2023_DTP-up_microarray	PEA15	human
moghal-2023_DTP-up_microarray	PGAP3	human
moghal-2023_DTP-up_microarray	PGK2	human
moghal-2023_DTP-up_microarray	PICALM	human
moghal-2023_DTP-up_microarray	PIK3IP1	human
moghal-2023_DTP-up_microarray	PIK3R1	human
moghal-2023_DTP-up_microarray	PITPNM1	human
moghal-2023_DTP-up_microarray	PLA2G10	human
moghal-2023_DTP-up_microarray	PLAU	human
moghal-2023_DTP-up_microarray	PLK2	human
moghal-2023_DTP-up_microarray	PLUNC	human
moghal-2023_DTP-up_microarray	PLXNB2	human
moghal-2023_DTP-up_microarray	PMEPA1	human
moghal-2023_DTP-up_microarray	PMP22	human
moghal-2023_DTP-up_microarray	PODXL2	human
moghal-2023_DTP-up_microarray	PPL	human
moghal-2023_DTP-up_microarray	PPP3CB	human
moghal-2023_DTP-up_microarray	PPP3R1	human
moghal-2023_DTP-up_microarray	PRIC285	human
moghal-2023_DTP-up_microarray	PRSS23	human
moghal-2023_DTP-up_microarray	PSENEN	human
moghal-2023_DTP-up_microarray	PTPRA	human
moghal-2023_DTP-up_microarray	PTRF	human
moghal-2023_DTP-up_microarray	PURB	human
moghal-2023_DTP-up_microarray	PVRL2	human
moghal-2023_DTP-up_microarray	PVRL4	human
moghal-2023_DTP-up_microarray	RAB10	human
moghal-2023_DTP-up_microarray	RAB9A	human
moghal-2023_DTP-up_microarray	RAB9P1	human
moghal-2023_DTP-up_microarray	RAP1BL	human
moghal-2023_DTP-up_microarray	RAPGEF1	human
moghal-2023_DTP-up_microarray	RARA	human
moghal-2023_DTP-up_microarray	RARRES3	human
moghal-2023_DTP-up_microarray	RASD1	human
moghal-2023_DTP-up_microarray	RASD2	human
moghal-2023_DTP-up_microarray	RASL11B	human
moghal-2023_DTP-up_microarray	RBM38	human
moghal-2023_DTP-up_microarray	RDH10	human
moghal-2023_DTP-up_microarray	RENBP	human
moghal-2023_DTP-up_microarray	RETSAT	human
moghal-2023_DTP-up_microarray	RFTN1	human
moghal-2023_DTP-up_microarray	RGS1	human
moghal-2023_DTP-up_microarray	RGS10	human
moghal-2023_DTP-up_microarray	RHOB	human
moghal-2023_DTP-up_microarray	RHOD	human
moghal-2023_DTP-up_microarray	RN7SK	human
moghal-2023_DTP-up_microarray	RND1	human
moghal-2023_DTP-up_microarray	RND3	human
moghal-2023_DTP-up_microarray	RNU4.2	human
moghal-2023_DTP-up_microarray	RNU4ATAC	human
moghal-2023_DTP-up_microarray	RPS17	human
moghal-2023_DTP-up_microarray	RPS6KA3	human
moghal-2023_DTP-up_microarray	RPS6KA5	human
moghal-2023_DTP-up_microarray	RRBP1	human
moghal-2023_DTP-up_microarray	RSPRY1	human
moghal-2023_DTP-up_microarray	S100A2	human
moghal-2023_DTP-up_microarray	S100P	human
moghal-2023_DTP-up_microarray	SCGB1A1	human
moghal-2023_DTP-up_microarray	SCGB2A1	human
moghal-2023_DTP-up_microarray	SCNN1A	human
moghal-2023_DTP-up_microarray	SCO2	human
moghal-2023_DTP-up_microarray	SDC4	human
moghal-2023_DTP-up_microarray	SELENBP1	human
moghal-2023_DTP-up_microarray	SERF2	human
moghal-2023_DTP-up_microarray	SERHL	human
