gs_name	gene	species
hangauer-2017_DTP-up	CAMK1G	human
hangauer-2017_DTP-up	CAMK2B	human
hangauer-2017_DTP-up	CAPN3	human
hangauer-2017_DTP-up	CAPN8	human
hangauer-2017_DTP-up	CAPRIN2	human
hangauer-2017_DTP-up	CAPS2	human
hangauer-2017_DTP-up	CAPSL	human
hangauer-2017_DTP-up	CARD6	human
hangauer-2017_DTP-up	CARF	human
hangauer-2017_DTP-up	CARMIL2	human
hangauer-2017_DTP-up	CARNS1	human
hangauer-2017_DTP-up	CASP10	human
hangauer-2017_DTP-up	CATIP	human
hangauer-2017_DTP-up	CATSPERG	human
hangauer-2017_DTP-up	CAV1	human
hangauer-2017_DTP-up	CAV2	human
hangauer-2017_DTP-up	CBLN2	human
hangauer-2017_DTP-up	CBLN3	human
hangauer-2017_DTP-up	CBX7	human
hangauer-2017_DTP-up	CBY3	human
hangauer-2017_DTP-up	CC2D2A	human
hangauer-2017_DTP-up	CC2D2B	human
hangauer-2017_DTP-up	CCBE1	human
hangauer-2017_DTP-up	CCDC102B	human
hangauer-2017_DTP-up	CCDC114	human
hangauer-2017_DTP-up	CCDC144A	human
hangauer-2017_DTP-up	CCDC146	human
hangauer-2017_DTP-up	CCDC152	human
hangauer-2017_DTP-up	CCDC154	human
hangauer-2017_DTP-up	CCDC158	human
hangauer-2017_DTP-up	CCDC170	human
hangauer-2017_DTP-up	CCDC173	human
hangauer-2017_DTP-up	CCDC178	human
hangauer-2017_DTP-up	CCDC183	human
hangauer-2017_DTP-up	CCDC191	human
hangauer-2017_DTP-up	CCDC30	human
hangauer-2017_DTP-up	CCDC36	human
hangauer-2017_DTP-up	CCDC39	human
hangauer-2017_DTP-up	CCDC62	human
hangauer-2017_DTP-up	CCDC68	human
hangauer-2017_DTP-up	CCDC7	human
hangauer-2017_DTP-up	CCDC73	human
hangauer-2017_DTP-up	CCDC74A	human
hangauer-2017_DTP-up	CCDC74B	human
hangauer-2017_DTP-up	CCDC78	human
hangauer-2017_DTP-up	CCDC79	human
hangauer-2017_DTP-up	CCDC82	human
hangauer-2017_DTP-up	CCDC85A	human
hangauer-2017_DTP-up	CCER2	human
hangauer-2017_DTP-up	CCL25	human
hangauer-2017_DTP-up	CCL27	human
hangauer-2017_DTP-up	CCL28	human
hangauer-2017_DTP-up	CCL3L1	human
hangauer-2017_DTP-up	CCND2	human
hangauer-2017_DTP-up	CCNG2	human
hangauer-2017_DTP-up	CCR2	human
hangauer-2017_DTP-up	CCR3	human
hangauer-2017_DTP-up	CCT6B	human
hangauer-2017_DTP-up	CCT8L2	human
hangauer-2017_DTP-up	CD109	human
hangauer-2017_DTP-up	CD177	human
hangauer-2017_DTP-up	CD180	human
hangauer-2017_DTP-up	CD19	human
hangauer-2017_DTP-up	CD1D	human
hangauer-2017_DTP-up	CD200	human
hangauer-2017_DTP-up	CD22	human
hangauer-2017_DTP-up	CD226	human
hangauer-2017_DTP-up	CD27	human
hangauer-2017_DTP-up	CD34	human
hangauer-2017_DTP-up	CD44	human
hangauer-2017_DTP-up	CD47	human
hangauer-2017_DTP-up	CD5	human
hangauer-2017_DTP-up	CD55	human
hangauer-2017_DTP-up	CD7	human
hangauer-2017_DTP-up	CDC42EP3	human
hangauer-2017_DTP-up	CDCP2	human
hangauer-2017_DTP-up	CDH11	human
hangauer-2017_DTP-up	CDH12	human
hangauer-2017_DTP-up	CDH18	human
hangauer-2017_DTP-up	CDH2	human
hangauer-2017_DTP-up	CDHR1	human
hangauer-2017_DTP-up	CDHR3	human
hangauer-2017_DTP-up	CDHR4	human
hangauer-2017_DTP-up	CDHR5	human
hangauer-2017_DTP-up	CDK5R2	human
hangauer-2017_DTP-up	CDKL1	human
hangauer-2017_DTP-up	CDKL4	human
hangauer-2017_DTP-up	CDKN1C	human
hangauer-2017_DTP-up	CDKN2B	human
hangauer-2017_DTP-up	CDNF	human
hangauer-2017_DTP-up	CDON	human
hangauer-2017_DTP-up	CDSN	human
hangauer-2017_DTP-up	CDX2	human
hangauer-2017_DTP-up	CEACAM19	human
hangauer-2017_DTP-up	CELA1	human
hangauer-2017_DTP-up	CELF4	human
hangauer-2017_DTP-up	CELF5	human
hangauer-2017_DTP-up	CELF6	human
hangauer-2017_DTP-up	CELSR3	human
hangauer-2017_DTP-up	CEMIP	human
hangauer-2017_DTP-up	CEMP1	human
hangauer-2017_DTP-up	CEND1	human
hangauer-2017_DTP-up	CEP162	human
hangauer-2017_DTP-up	CEP68	human
hangauer-2017_DTP-up	CERK	human
hangauer-2017_DTP-up	CERS3	human
hangauer-2017_DTP-up	CES4A	human
hangauer-2017_DTP-up	CES5A	human
hangauer-2017_DTP-up	CFAP100	human
hangauer-2017_DTP-up	CFAP221	human
hangauer-2017_DTP-up	CFAP43	human
hangauer-2017_DTP-up	CFAP44	human
hangauer-2017_DTP-up	CFAP47	human
hangauer-2017_DTP-up	CFAP52	human
hangauer-2017_DTP-up	CFAP53	human
hangauer-2017_DTP-up	CFAP65	human
hangauer-2017_DTP-up	CFAP70	human
hangauer-2017_DTP-up	CFH	human
hangauer-2017_DTP-up	CGB5	human
hangauer-2017_DTP-up	CGB7	human
hangauer-2017_DTP-up	CGB8	human
hangauer-2017_DTP-up	CGN	human
hangauer-2017_DTP-up	CHAD	human
hangauer-2017_DTP-up	CHD5	human
hangauer-2017_DTP-up	CHD6	human
hangauer-2017_DTP-up	CHI3L1	human
hangauer-2017_DTP-up	CHRD	human
hangauer-2017_DTP-up	CHRDL2	human
hangauer-2017_DTP-up	CHRM4	human
hangauer-2017_DTP-up	CHRM5	human
hangauer-2017_DTP-up	CHRNE	human
hangauer-2017_DTP-up	CHST6	human
hangauer-2017_DTP-up	CIITA	human
hangauer-2017_DTP-up	CITED2	human
hangauer-2017_DTP-up	CKB	human
hangauer-2017_DTP-up	CKMT2	human
hangauer-2017_DTP-up	CLCN4	human
hangauer-2017_DTP-up	CLDN11	human
hangauer-2017_DTP-up	CLDN8	human
hangauer-2017_DTP-up	CLEC18A	human
hangauer-2017_DTP-up	CLEC18B	human
hangauer-2017_DTP-up	CLEC18C	human
hangauer-2017_DTP-up	CLEC2B	human
hangauer-2017_DTP-up	CLEC3B	human
hangauer-2017_DTP-up	CLEC4A	human
hangauer-2017_DTP-up	CLEC4F	human
hangauer-2017_DTP-up	CLECL1	human
hangauer-2017_DTP-up	CLIC2	human
hangauer-2017_DTP-up	CLIC5	human
hangauer-2017_DTP-up	CLIP3	human
hangauer-2017_DTP-up	CLIP4	human
hangauer-2017_DTP-up	CLK1	human
hangauer-2017_DTP-up	CLK4	human
hangauer-2017_DTP-up	CLRN1	human
hangauer-2017_DTP-up	CLYBL	human
hangauer-2017_DTP-up	CMA1	human
hangauer-2017_DTP-up	CMYA5	human
hangauer-2017_DTP-up	CNBD2	human
hangauer-2017_DTP-up	CNDP1	human
hangauer-2017_DTP-up	CNGA4	human
hangauer-2017_DTP-up	CNOT6L	human
hangauer-2017_DTP-up	CNPY1	human
hangauer-2017_DTP-up	CNR1	human
hangauer-2017_DTP-up	CNRIP1	human
hangauer-2017_DTP-up	CNTN1	human
hangauer-2017_DTP-up	CNTN3	human
hangauer-2017_DTP-up	CNTN4	human
hangauer-2017_DTP-up	CNTNAP3	human
hangauer-2017_DTP-up	CNTNAP3B	human
hangauer-2017_DTP-up	CNTNAP5	human
hangauer-2017_DTP-up	COL12A1	human
hangauer-2017_DTP-up	COL15A1	human
hangauer-2017_DTP-up	COL16A1	human
hangauer-2017_DTP-up	COL17A1	human
hangauer-2017_DTP-up	COL18A1	human
hangauer-2017_DTP-up	COL23A1	human
hangauer-2017_DTP-up	COL25A1	human
hangauer-2017_DTP-up	COL27A1	human
hangauer-2017_DTP-up	COL28A1	human
hangauer-2017_DTP-up	COL4A3	human
hangauer-2017_DTP-up	COL4A4	human
hangauer-2017_DTP-up	COL4A5	human
hangauer-2017_DTP-up	COL5A1	human
hangauer-2017_DTP-up	COL5A3	human
hangauer-2017_DTP-up	COL6A3	human
hangauer-2017_DTP-up	COL6A6	human
hangauer-2017_DTP-up	COL7A1	human
hangauer-2017_DTP-up	COLEC12	human
hangauer-2017_DTP-up	COLQ	human
hangauer-2017_DTP-up	COQ10A	human
hangauer-2017_DTP-up	CPA2	human
hangauer-2017_DTP-up	CPO	human
hangauer-2017_DTP-up	CPQ	human
hangauer-2017_DTP-up	CPXM2	human
hangauer-2017_DTP-up	CR2	human
hangauer-2017_DTP-up	CREBRF	human
hangauer-2017_DTP-up	CREG2	human
hangauer-2017_DTP-up	CRIM1	human
hangauer-2017_DTP-up	CRIP3	human
hangauer-2017_DTP-up	CRISPLD1	human
hangauer-2017_DTP-up	CROCC	human
hangauer-2017_DTP-up	CRYGS	human
hangauer-2017_DTP-up	CSF2RA	human
hangauer-2017_DTP-up	CSF2RA	human
hangauer-2017_DTP-up	CSMD2	human
hangauer-2017_DTP-up	CSPG4	human
hangauer-2017_DTP-up	CTDSP2	human
hangauer-2017_DTP-up	CTNNA3	human
hangauer-2017_DTP-up	CTRB1	human
hangauer-2017_DTP-up	CTRB2	human
hangauer-2017_DTP-up	CTSF	human
hangauer-2017_DTP-up	CTSK	human
hangauer-2017_DTP-up	CTSS	human
hangauer-2017_DTP-up	CUBN	human
hangauer-2017_DTP-up	CXCL10	human
hangauer-2017_DTP-up	CXCL12	human
hangauer-2017_DTP-up	CXCL13	human
hangauer-2017_DTP-up	CXCR3	human
hangauer-2017_DTP-up	CYBRD1	human
hangauer-2017_DTP-up	CYP1A1	human
hangauer-2017_DTP-up	CYP1A2	human
hangauer-2017_DTP-up	CYP21A2	human
hangauer-2017_DTP-up	CYP26A1	human
hangauer-2017_DTP-up	CYP27C1	human
hangauer-2017_DTP-up	CYP2A13	human
hangauer-2017_DTP-up	CYP2A6	human
hangauer-2017_DTP-up	CYP2A7	human
hangauer-2017_DTP-up	CYP2C8	human
hangauer-2017_DTP-up	CYP2D6	human
hangauer-2017_DTP-up	CYP2E1	human
hangauer-2017_DTP-up	CYP2W1	human
hangauer-2017_DTP-up	CYP3A4	human
hangauer-2017_DTP-up	CYP3A43	human
hangauer-2017_DTP-up	CYP3A7	human
hangauer-2017_DTP-up	CYP46A1	human
hangauer-2017_DTP-up	CYP4A22	human
hangauer-2017_DTP-up	CYP4F11	human
hangauer-2017_DTP-up	CYP4F12	human
hangauer-2017_DTP-up	CYP4F2	human
hangauer-2017_DTP-up	CYP4F22	human
hangauer-2017_DTP-up	CYP4F3	human
hangauer-2017_DTP-up	CYP4F8	human
hangauer-2017_DTP-up	CYP7A1	human
hangauer-2017_DTP-up	CYSRT1	human
hangauer-2017_DTP-up	DAAM2	human
hangauer-2017_DTP-up	DACT1	human
hangauer-2017_DTP-up	DAPK2	human
hangauer-2017_DTP-up	DAPP1	human
hangauer-2017_DTP-up	DBH	human
hangauer-2017_DTP-up	DBP	human
hangauer-2017_DTP-up	DCAF4L2	human
hangauer-2017_DTP-up	DCDC2	human
hangauer-2017_DTP-up	DCLK2	human
hangauer-2017_DTP-up	DCSTAMP	human
hangauer-2017_DTP-up	DDIT4	human
hangauer-2017_DTP-up	DEFB132	human
hangauer-2017_DTP-up	DENND3	human
hangauer-2017_DTP-up	DEPTOR	human
hangauer-2017_DTP-up	DFNB31	human
hangauer-2017_DTP-up	DFNB59	human
hangauer-2017_DTP-up	DHDH	human
hangauer-2017_DTP-up	DIO1	human
hangauer-2017_DTP-up	DIRAS2	human
hangauer-2017_DTP-up	DIRAS3	human
hangauer-2017_DTP-up	DIXDC1	human
hangauer-2017_DTP-up	DLC1	human
hangauer-2017_DTP-up	DLEC1	human
hangauer-2017_DTP-up	DLG2	human
hangauer-2017_DTP-up	DLX2	human
hangauer-2017_DTP-up	DMGDH	human
hangauer-2017_DTP-up	DNAAF1	human
hangauer-2017_DTP-up	DNAH1	human
hangauer-2017_DTP-up	DNAH10	human
hangauer-2017_DTP-up	DNAH17	human
hangauer-2017_DTP-up	DNAH2	human
hangauer-2017_DTP-up	DNAJB4	human
hangauer-2017_DTP-up	DNAJC6	human
hangauer-2017_DTP-up	DNM1	human
hangauer-2017_DTP-up	DNM3	human
hangauer-2017_DTP-up	DNMBP	human
hangauer-2017_DTP-up	DOK6	human
hangauer-2017_DTP-up	DPCR1	human
hangauer-2017_DTP-up	DPEP2	human
hangauer-2017_DTP-up	DPP10	human
hangauer-2017_DTP-up	DPY19L2	human
hangauer-2017_DTP-up	DPYD	human
hangauer-2017_DTP-up	DPYSL3	human
hangauer-2017_DTP-up	DQX1	human
hangauer-2017_DTP-up	DRICH1	human
hangauer-2017_DTP-up	DSCAM	human
hangauer-2017_DTP-up	DSE	human
hangauer-2017_DTP-up	DTX3	human
hangauer-2017_DTP-up	DUOX1	human
hangauer-2017_DTP-up	DUOX2	human
hangauer-2017_DTP-up	DUOXA1	human
hangauer-2017_DTP-up	DUOXA2	human
hangauer-2017_DTP-up	DUSP15	human
hangauer-2017_DTP-up	DUSP27	human
hangauer-2017_DTP-up	DYNC2H1	human
hangauer-2017_DTP-up	DYNLRB2	human
hangauer-2017_DTP-up	DYRK1B	human
hangauer-2017_DTP-up	EBF1	human
hangauer-2017_DTP-up	EBF2	human
hangauer-2017_DTP-up	EBF3	human
hangauer-2017_DTP-up	EBF4	human
hangauer-2017_DTP-up	EDAR	human
hangauer-2017_DTP-up	EDIL3	human
hangauer-2017_DTP-up	EDNRA	human
hangauer-2017_DTP-up	EFCAB13	human
