gs_name	gene	species
zhao-2020_DTP-up_GSE153183	GLS	human
zhao-2020_DTP-up_GSE153183	GLTSCR2	human
zhao-2020_DTP-up_GSE153183	GNAI1	human
zhao-2020_DTP-up_GSE153183	GOLGB1	human
zhao-2020_DTP-up_GSE153183	GPLD1	human
zhao-2020_DTP-up_GSE153183	GPNMB	human
zhao-2020_DTP-up_GSE153183	GPR1	human
zhao-2020_DTP-up_GSE153183	GPR137B	human
zhao-2020_DTP-up_GSE153183	GPR158	human
zhao-2020_DTP-up_GSE153183	GPR176	human
zhao-2020_DTP-up_GSE153183	GPR89B	human
zhao-2020_DTP-up_GSE153183	GPRC5A	human
zhao-2020_DTP-up_GSE153183	GPRC5C	human
zhao-2020_DTP-up_GSE153183	GPRIN2	human
zhao-2020_DTP-up_GSE153183	GPX3	human
zhao-2020_DTP-up_GSE153183	GPX8	human
zhao-2020_DTP-up_GSE153183	GRAMD2	human
zhao-2020_DTP-up_GSE153183	GRAMD3	human
zhao-2020_DTP-up_GSE153183	GREB1L	human
zhao-2020_DTP-up_GSE153183	GRHL3	human
zhao-2020_DTP-up_GSE153183	GRN	human
zhao-2020_DTP-up_GSE153183	GRPR	human
zhao-2020_DTP-up_GSE153183	GS1-594A7.3	human
zhao-2020_DTP-up_GSE153183	GSDMB	human
zhao-2020_DTP-up_GSE153183	GSTK1	human
zhao-2020_DTP-up_GSE153183	GSTM3	human
zhao-2020_DTP-up_GSE153183	GTF2IP4	human
zhao-2020_DTP-up_GSE153183	GYLTL1B	human
zhao-2020_DTP-up_GSE153183	GYS1	human
zhao-2020_DTP-up_GSE153183	H19	human
zhao-2020_DTP-up_GSE153183	HACD4	human
zhao-2020_DTP-up_GSE153183	HBP1	human
zhao-2020_DTP-up_GSE153183	HCAR2	human
zhao-2020_DTP-up_GSE153183	HCFC1R1	human
zhao-2020_DTP-up_GSE153183	HDAC5	human
zhao-2020_DTP-up_GSE153183	HEATR5A	human
zhao-2020_DTP-up_GSE153183	HECA	human
zhao-2020_DTP-up_GSE153183	HEG1	human
zhao-2020_DTP-up_GSE153183	HELZ2	human
zhao-2020_DTP-up_GSE153183	HERPUD1	human
zhao-2020_DTP-up_GSE153183	HES2	human
zhao-2020_DTP-up_GSE153183	HFE	human
zhao-2020_DTP-up_GSE153183	HHIPL2	human
zhao-2020_DTP-up_GSE153183	HIST1H1C	human
zhao-2020_DTP-up_GSE153183	HIST1H2AC	human
zhao-2020_DTP-up_GSE153183	HIST1H2AK	human
zhao-2020_DTP-up_GSE153183	HIST1H2BC	human
zhao-2020_DTP-up_GSE153183	HIST1H2BD	human
zhao-2020_DTP-up_GSE153183	HIST1H2BF	human
zhao-2020_DTP-up_GSE153183	HIST1H3E	human
zhao-2020_DTP-up_GSE153183	HIST1H4H	human
zhao-2020_DTP-up_GSE153183	HIST2H2BE	human
zhao-2020_DTP-up_GSE153183	HIST3H3	human
zhao-2020_DTP-up_GSE153183	HIVEP1	human
zhao-2020_DTP-up_GSE153183	HIVEP2	human
zhao-2020_DTP-up_GSE153183	HMGCS1	human
zhao-2020_DTP-up_GSE153183	HPS5	human
zhao-2020_DTP-up_GSE153183	HPSE	human
zhao-2020_DTP-up_GSE153183	HRAT92	human
zhao-2020_DTP-up_GSE153183	HS6ST1	human
zhao-2020_DTP-up_GSE153183	HSD17B14	human
zhao-2020_DTP-up_GSE153183	HSPA2	human
zhao-2020_DTP-up_GSE153183	HSPB1	human
zhao-2020_DTP-up_GSE153183	HSPB8	human
zhao-2020_DTP-up_GSE153183	HTRA1	human
zhao-2020_DTP-up_GSE153183	HUNK	human
zhao-2020_DTP-up_GSE153183	ICAM1	human
zhao-2020_DTP-up_GSE153183	ICAM5	human
zhao-2020_DTP-up_GSE153183	ICK	human
zhao-2020_DTP-up_GSE153183	ID2	human
zhao-2020_DTP-up_GSE153183	IDUA	human
zhao-2020_DTP-up_GSE153183	IFI6	human
zhao-2020_DTP-up_GSE153183	IFIT1	human
zhao-2020_DTP-up_GSE153183	IFIT2	human
zhao-2020_DTP-up_GSE153183	IFITM1	human
zhao-2020_DTP-up_GSE153183	IFITM2	human
zhao-2020_DTP-up_GSE153183	IFITM3	human
zhao-2020_DTP-up_GSE153183	IGBP1	human
zhao-2020_DTP-up_GSE153183	IGFBP3	human
zhao-2020_DTP-up_GSE153183	IGFBP5	human
zhao-2020_DTP-up_GSE153183	IGFL1	human
zhao-2020_DTP-up_GSE153183	IGIP	human
zhao-2020_DTP-up_GSE153183	IGSF23	human
zhao-2020_DTP-up_GSE153183	IGSF9	human
zhao-2020_DTP-up_GSE153183	IL11RA	human
zhao-2020_DTP-up_GSE153183	IL17RC	human
zhao-2020_DTP-up_GSE153183	IL17RE	human
zhao-2020_DTP-up_GSE153183	IL1R1	human
zhao-2020_DTP-up_GSE153183	ING4	human
zhao-2020_DTP-up_GSE153183	INHA	human
zhao-2020_DTP-up_GSE153183	INHBB	human
zhao-2020_DTP-up_GSE153183	INO80B	human
zhao-2020_DTP-up_GSE153183	INO80B-WBP1	human
zhao-2020_DTP-up_GSE153183	INPP5J	human
zhao-2020_DTP-up_GSE153183	INPPL1	human
zhao-2020_DTP-up_GSE153183	INSL4	human
zhao-2020_DTP-up_GSE153183	IPMK	human
zhao-2020_DTP-up_GSE153183	IRF6	human
zhao-2020_DTP-up_GSE153183	IRF9	human
zhao-2020_DTP-up_GSE153183	IRX6	human
zhao-2020_DTP-up_GSE153183	ISYNA1	human
zhao-2020_DTP-up_GSE153183	ITM2B	human
zhao-2020_DTP-up_GSE153183	ITPKC	human
zhao-2020_DTP-up_GSE153183	ITPR2	human
zhao-2020_DTP-up_GSE153183	JAK3	human
zhao-2020_DTP-up_GSE153183	JDP2	human
zhao-2020_DTP-up_GSE153183	JHDM1D-AS1	human
zhao-2020_DTP-up_GSE153183	JMY	human
zhao-2020_DTP-up_GSE153183	JPH2	human
zhao-2020_DTP-up_GSE153183	JSRP1	human
zhao-2020_DTP-up_GSE153183	JUND	human
zhao-2020_DTP-up_GSE153183	KANK1	human
zhao-2020_DTP-up_GSE153183	KAZALD1	human
zhao-2020_DTP-up_GSE153183	KCNC3	human
zhao-2020_DTP-up_GSE153183	KCNG1	human
zhao-2020_DTP-up_GSE153183	KCNJ13	human
zhao-2020_DTP-up_GSE153183	KCNK15	human
zhao-2020_DTP-up_GSE153183	KCP	human
zhao-2020_DTP-up_GSE153183	KIAA0513	human
zhao-2020_DTP-up_GSE153183	KIAA1683	human
zhao-2020_DTP-up_GSE153183	KIFC2	human
zhao-2020_DTP-up_GSE153183	KLC4	human
zhao-2020_DTP-up_GSE153183	KLF4	human
zhao-2020_DTP-up_GSE153183	KLF8	human
zhao-2020_DTP-up_GSE153183	KLHL24	human
zhao-2020_DTP-up_GSE153183	KLHL30	human
zhao-2020_DTP-up_GSE153183	KLK10	human
zhao-2020_DTP-up_GSE153183	KLK5	human
zhao-2020_DTP-up_GSE153183	KLK7	human
zhao-2020_DTP-up_GSE153183	KREMEN1	human
zhao-2020_DTP-up_GSE153183	KRT13	human
zhao-2020_DTP-up_GSE153183	KRT14	human
zhao-2020_DTP-up_GSE153183	KRT16	human
zhao-2020_DTP-up_GSE153183	KRT17	human
zhao-2020_DTP-up_GSE153183	KRT4	human
zhao-2020_DTP-up_GSE153183	KRT9	human
zhao-2020_DTP-up_GSE153183	L1CAM	human
zhao-2020_DTP-up_GSE153183	L3MBTL1	human
zhao-2020_DTP-up_GSE153183	LAMB2	human
zhao-2020_DTP-up_GSE153183	LAPTM4A	human
zhao-2020_DTP-up_GSE153183	LATS2	human
zhao-2020_DTP-up_GSE153183	LBH	human
zhao-2020_DTP-up_GSE153183	LCAT	human
zhao-2020_DTP-up_GSE153183	LDB1	human
zhao-2020_DTP-up_GSE153183	LDHD	human
