Regulator	BCa_MCF7_first	BCa_MCF7_resistant	BCa_MCF7_second	BCa_MCF7_ERmutant	PCa_LNCaP_first	PCa_LNCaP_resistant	PCa_LNCaP_second	BCa_NEO_new	BCa_NEO_new_LASSO	BCa_NEO_new_RF	Perv_NEO	Perv_DTP	BCa_NEO_new_ML	Selection_1	Selection_2	Selection_3
ELF3	0.08364586718831679	-0.29855077887021325	0.5577018198073731	-0.3897448484627851	0.5676053083043375	0.6930551780654213	0.18280443384157996	0.022180637692771663	0	0	-1.0079805361607674	1.0684473881442187	FALSE	FALSE	FALSE	FALSE
ELF4	-0.08105440215895877	0.22926580814221265	0.233701061747565	0.3390472426616603	-0.06530277406451268	-0.23574262868576357	-0.09246908136148067	7.360281859986832	0	7.14285714285715e-4	0	0	TRUE	FALSE	FALSE	TRUE
ELK1	0.8961537543705209	0.37674603531559386	0.38913783272126506	0.05372601776977015	0.3964967733618193	-0.10486225438285672	-0.07995845182450506	11.886460891069538	0	0	6.848458301155741	3.8941123264902098	FALSE	FALSE	TRUE	FALSE
ELK3	-0.3192746639910683	-0.34772980257282815	0.3079682550381971	-0.49102687412823376	0.4374570718897569	0.2238559503515078	-0.15431155726200574	-1.3865632338312965	0	0	0	0	FALSE	FALSE	FALSE	FALSE
ENO1	-0.3794085848978922	-0.7440506890009034	0.10647991114717914	-0.6755869306920674	0.33730970562949336	0.28674692319774164	0.1382772164575965	-0.16458854909240217	0	0	0	0	FALSE	FALSE	FALSE	FALSE
EP300	-0.522294679319904	-0.6821153538661623	0.188712756798886	-0.09182087889199986	0.13364874281745176	0.2420575835395557	0.00882282652703997	3.1187943777897833	0	9.090909090909094e-4	0	0	TRUE	FALSE	FALSE	TRUE
EPAS1	0.2512813324227853	0.25647597489347684	0.48522202918539115	-0.2312834123681876	0.07088646821267686	-0.11192416785667536	-0.09569324242065592	1.130322396498382	0	-7.692307692307699e-4	0	0	TRUE	FALSE	FALSE	TRUE
ERG	-0.34728733738395395	-0.5178329817940294	0.17228542562885035	-0.8347550665338301	0.11036887360698631	-0.3626420193116035	-0.14470184278385223	1.5315397992506152	0	0	0	0	FALSE	FALSE	FALSE	FALSE
ESR1	-2.033614137310105	-1.983497756535861	-0.18177599561427	1.849977792462834	-0.04665038200346627	0.16543874641662248	0.41186891310018847	0.03848457081271812	0	0	3.5865615701073006	11.982889708223833	FALSE	TRUE	FALSE	FALSE
ESR2	-0.7928701962689128	-0.7639368330541192	0.14871478595916607	2.026922371677474	0.5396296328481712	0.6021988160977001	0.02952151704188493	0.19068497198024098	0	0	-1.0705922633855156	4.388920230560218	FALSE	FALSE	FALSE	FALSE
