target_id	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	b	pa_up	pa_down
TNFRSF10D	1	5.872912644501611	5.479904515654471e-4	0.0016607080994832032	0.45433656939922634	FALSE	FALSE
NOP58	7	26.9717839077908	5.483702925004493e-4	0.0016615803879640291	-0.047539824081422835	FALSE	TRUE
ARPC1B	15	60.01455864421085	5.485251077801245e-4	0.0016617706628755692	0.2833831443733537	FALSE	FALSE
FIGN	1	4.898296402493362	5.496091633038692e-4	0.0016646282821771486	0.7540821644758678	FALSE	FALSE
SNX27	13	37.9076347180713	5.496527186789046e-4	0.0016646282821771486	-0.0012481340222036319	FALSE	FALSE
ATXN1	7	24.612007514737783	5.498961010239077e-4	0.001665086131520917	0.266660767163077	FALSE	FALSE
HEXA	12	52.1467826789344	5.504148453771195e-4	0.001666377484101492	0.15330119160534508	FALSE	FALSE
AARSD1	15	43.316883296727674	5.525955149841087e-4	0.0016726990286788498	-0.1293624983137225	FALSE	FALSE
PSD2	1	3.2010381702938675	5.528305798168171e-4	0.0016728769851355814	0.7163684051154142	FALSE	FALSE
FN3KRP	8	29.41596822236239	5.528395729159505e-4	0.0016728769851355814	0.04238795686844827	FALSE	FALSE
BABAM1	13	52.02968749044187	5.534512316178218e-4	0.001674447276224869	0.059456688251553765	FALSE	FALSE
RALB	4	19.17195736841052	5.542466164428967e-4	0.0016765728050824576	0.11570824316200848	FALSE	FALSE
OGFRL1	3	18.313068538218122	5.548521292032475e-4	0.0016781233631353956	0.20865244302863165	FALSE	FALSE
MAGEB17	1	1.3326526969703503	5.560456107149847e-4	0.0016811698784366161	-1.3100812697695232	FALSE	FALSE
KIAA0753	8	23.046740101048663	5.560316064035262e-4	0.0016811698784366161	-0.20940419145229383	FALSE	FALSE
C1orf131	7	26.370413489632128	5.566006053578703e-4	0.0016825661754532608	-0.26051053573009164	FALSE	TRUE
KRBA1	8	26.651467577092163	5.571275006959284e-4	0.0016838770769987902	0.28132610093472343	FALSE	FALSE
ACSM4	1	2.5709580080946237	5.572454388747258e-4	0.001683951703587462	0.7194330853931762	FALSE	FALSE
RABAC1	8	29.780639370731798	5.57875171470968e-4	0.0016855726487525868	0.11261937768116828	TRUE	FALSE
PMS2P3	4	14.729815871986178	5.581530791450918e-4	0.0016861302201875564	-0.14434184528061167	FALSE	FALSE
RRP8	4	20.40517078669	5.585231857242938e-4	0.0016869660831234357	0.09263267391543306	FALSE	FALSE
SAFB	12	53.53766718152887	5.587078542051971e-4	0.0016872416620554607	0.14430823739973062	FALSE	FALSE
IGKJ1	1	2.724181365735895	5.590894962083343e-4	0.001688100584503157	1.684487952104655	FALSE	FALSE
GBE1	2	9.582854186873565	5.591792289992738e-4	0.001688100584503157	0.2850925390156554	FALSE	FALSE
EVI5L	5	17.351194436079275	5.60900734080802e-4	0.0016927367434611453	0.16251319895413388	FALSE	FALSE
MORC4	4	18.609129306819447	5.609024128064396e-4	0.0016927367434611453	-0.26362625992499567	FALSE	FALSE
POLR2L	2	14.466253588633858	5.612014388729445e-4	0.0016933561879041777	-0.09142908250496454	FALSE	TRUE
KIF3B	1	8.225693850083443	5.613662015047327e-4	0.0016935703696916082	-0.2621626631432179	FALSE	FALSE
TMCC3	2	9.210455025674065	5.6164349975983e-4	0.00169412392887302	0.5437543893900388	FALSE	FALSE
SFXN5	8	20.13835987342432	5.633758855361442e-4	0.00169906565078444	-0.3377779963402375	FALSE	FALSE
